TITLE="DIR08_SCB_EB_E_WD070.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 8.75000000e+000 0.00000000e+000 2.62546681e-004 1.77623227e-004 1.14384646e-004 7.21780600e-005 
0.00000000e+000 1.51554446e+001 0.00000000e+000 2.35014372e-004 1.59449733e-004 1.02583392e-004 6.47851037e-005 
0.00000000e+000 1.95655948e+001 0.00000000e+000 2.15915440e-004 1.46549584e-004 9.44689339e-005 5.98570348e-005 
0.00000000e+000 2.31503240e+001 0.00000000e+000 2.03374108e-004 1.38239697e-004 8.91920283e-005 5.66777737e-005 
0.00000000e+000 2.62500000e+001 0.00000000e+000 2.02566375e-004 1.37695194e-004 8.85089280e-005 5.60200877e-005 
0.00000000e+000 2.90204669e+001 0.00000000e+000 2.09197995e-004 1.42044856e-004 9.10099314e-005 5.72922519e-005 
0.00000000e+000 3.15485737e+001 0.00000000e+000 2.19727762e-004 1.49022707e-004 9.52753165e-005 5.97349235e-005 
0.00000000e+000 3.38886043e+001 0.00000000e+000 2.33086353e-004 1.57857728e-004 1.00759472e-004 6.29911101e-005 
2.50000000e-001 8.75000000e+000 0.00000000e+000 8.39002558e-005 9.19232878e-005 6.95952835e-005 5.03124994e-005 
2.50000000e-001 1.51554446e+001 0.00000000e+000 8.96415418e-005 8.98341322e-005 6.62444351e-005 4.70238544e-005 
2.50000000e-001 1.95655948e+001 0.00000000e+000 9.79698599e-005 8.99831790e-005 6.48263716e-005 4.52903412e-005 
2.50000000e-001 2.31503240e+001 0.00000000e+000 1.09380699e-004 9.26252955e-005 6.51492928e-005 4.47760461e-005 
2.50000000e-001 2.62500000e+001 0.00000000e+000 1.30572381e-004 1.01719841e-004 6.93970896e-005 4.65016033e-005 
2.50000000e-001 2.90204669e+001 0.00000000e+000 1.66750323e-004 1.18519664e-004 7.81033562e-005 5.07030205e-005 
2.50000000e-001 3.15485737e+001 0.00000000e+000 2.01057075e-004 1.35271771e-004 8.72376084e-005 5.54501343e-005 
2.50000000e-001 3.38886043e+001 0.00000000e+000 2.32350397e-004 1.51144468e-004 9.62075994e-005 6.03573669e-005 
5.00000000e-001 8.75000000e+000 0.00000000e+000 2.87187323e-005 4.86988902e-005 4.29143150e-005 3.53197462e-005 
5.00000000e-001 1.51554446e+001 0.00000000e+000 4.01393518e-005 5.39150921e-005 4.44236759e-005 3.48431809e-005 
5.00000000e-001 1.95655948e+001 0.00000000e+000 5.50785940e-005 6.07377560e-005 4.71713055e-005 3.54163694e-005 
5.00000000e-001 2.31503240e+001 0.00000000e+000 7.50116566e-005 6.98299255e-005 5.13231263e-005 3.69520230e-005 
5.00000000e-001 2.62500000e+001 0.00000000e+000 1.07907784e-004 8.56640146e-005 5.93643931e-005 4.06623025e-005 
