TITLE="DIR04_SCB_EB_E_WD140.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=4 K=3 F=POINT
0.00000000e+000 1.23743687e+001 0.00000000e+000 1.88812678e-004 1.28358302e-004 8.26309072e-005 5.23078304e-005 
0.00000000e+000 2.14330352e+001 0.00000000e+000 2.31923950e-004 1.56887177e-004 1.00252260e-004 6.25663482e-005 
0.00000000e+000 2.76699295e+001 0.00000000e+000 2.30313894e-004 1.55588780e-004 9.96836088e-005 6.25910138e-005 
0.00000000e+000 3.27395021e+001 0.00000000e+000 2.36321697e-004 1.59647922e-004 1.02089769e-004 6.40839284e-005 
2.50000000e-001 1.23743687e+001 0.00000000e+000 6.62798755e-005 6.96166784e-005 5.19828045e-005 3.73067802e-005 
2.50000000e-001 2.14330352e+001 0.00000000e+000 1.12420990e-004 1.00214035e-004 7.09079889e-005 4.84044360e-005 
2.50000000e-001 2.76699295e+001 0.00000000e+000 1.64546148e-004 1.22261650e-004 8.19649361e-005 5.38219589e-005 
2.50000000e-001 3.27395021e+001 0.00000000e+000 2.27511267e-004 1.49477153e-004 9.58240576e-005 6.06570318e-005 
5.00000000e-001 1.23743687e+001 0.00000000e+000 2.61034674e-005 3.93302911e-005 3.34867649e-005 2.69497480e-005 
5.00000000e-001 2.14330352e+001 0.00000000e+000 6.73199766e-005 7.01565509e-005 5.30823696e-005 3.86719638e-005 
5.00000000e-001 2.76699295e+001 0.00000000e+000 1.49396015e-004 1.08800870e-004 7.31721114e-005 4.86059284e-005 
5.00000000e-001 3.27395021e+001 0.00000000e+000 2.67489615e-004 1.56226272e-004 9.69891239e-005 6.01492923e-005 
7.50000000e-001 1.23743687e+001 0.00000000e+000 1.12418873e-005 2.30411131e-005 2.20492691e-005 1.97054300e-005 
7.50000000e-001 2.14330352e+001 0.00000000e+000 4.44822367e-005 5.21649719e-005 4.14455595e-005 3.17173290e-005 
7.50000000e-001 2.76699295e+001 0.00000000e+000 1.45298163e-004 1.02704131e-004 6.85032613e-005 4.53908017e-005 
7.50000000e-001 3.27395021e+001 0.00000000e+000 3.34020060e-004 1.70941599e-004 1.02009537e-004 6.13751003e-005 
1.00000000e+000 1.23743687e+001 0.00000000e+000 5.17404616e-006 1.39292104e-005 1.48095011e-005 1.45734407e-005 
1.00000000e+000 2.14330352e+001 0.00000000e+000 3.09003156e-005 4.03075764e-005 3.33495775e-005 2.65605207e-005 
