TITLE="DIR08_SCB_EB_E_WD175.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 8.75000000e+000 0.00000000e+000 1.28538451e-004 8.81281609e-005 5.72065245e-005 3.68834372e-005 
0.00000000e+000 1.51554446e+001 0.00000000e+000 1.88149957e-004 1.27757558e-004 8.17851830e-005 5.12401150e-005 
0.00000000e+000 1.95655948e+001 0.00000000e+000 2.21355049e-004 1.49685318e-004 9.53981355e-005 5.92936856e-005 
0.00000000e+000 2.31503240e+001 0.00000000e+000 2.37229576e-004 1.60139622e-004 1.02012443e-004 6.33546041e-005 
0.00000000e+000 2.62500000e+001 0.00000000e+000 2.43349153e-004 1.64129963e-004 1.04660625e-004 6.51414487e-005 
0.00000000e+000 2.90204669e+001 0.00000000e+000 2.45460472e-004 1.65416175e-004 1.05628339e-004 6.59476653e-005 
0.00000000e+000 3.15485737e+001 0.00000000e+000 2.46262207e-004 1.65879882e-004 1.06064268e-004 6.64272874e-005 
0.00000000e+000 3.38886043e+001 0.00000000e+000 2.49139871e-004 1.67906892e-004 1.07366336e-004 6.73392796e-005 
2.50000000e-001 8.75000000e+000 0.00000000e+000 4.10108187e-005 4.56196130e-005 3.48255829e-005 2.57258330e-005 
2.50000000e-001 1.51554446e+001 0.00000000e+000 7.00445960e-005 7.14653673e-005 5.26308028e-005 3.71452335e-005 
2.50000000e-001 1.95655948e+001 0.00000000e+000 9.68095098e-005 9.09476156e-005 6.51507998e-005 4.47957539e-005 
2.50000000e-001 2.31503240e+001 0.00000000e+000 1.23402554e-004 1.06506897e-004 7.43617680e-005 5.00858941e-005 
2.50000000e-001 2.62500000e+001 0.00000000e+000 1.54782601e-004 1.21489203e-004 8.24536445e-005 5.43752035e-005 
2.50000000e-001 2.90204669e+001 0.00000000e+000 1.97855493e-004 1.39715250e-004 9.17556740e-005 5.90200686e-005 
2.50000000e-001 3.15485737e+001 0.00000000e+000 2.28583226e-004 1.52286264e-004 9.81540913e-005 6.22619592e-005 
2.50000000e-001 3.38886043e+001 0.00000000e+000 2.53316429e-004 1.62660873e-004 1.03509361e-004 6.50347619e-005 
5.00000000e-001 8.75000000e+000 0.00000000e+000 1.39065729e-005 2.41097776e-005 2.14544250e-005 1.80578921e-005 
