TITLE="DIR04_SCB_EB_E_WD000.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=4 K=3 F=POINT
0.00000000e+000 1.23743687e+001 0.00000000e+000 2.72942884e-004 1.84577486e-004 1.18999338e-004 7.52028562e-005 
0.00000000e+000 2.14330352e+001 0.00000000e+000 1.92753827e-004 1.31372611e-004 8.49688233e-005 5.43589727e-005 
0.00000000e+000 2.76699295e+001 0.00000000e+000 1.99625392e-004 1.35907717e-004 8.71950680e-005 5.49658800e-005 
0.00000000e+000 3.27395021e+001 0.00000000e+000 2.23472142e-004 1.51635322e-004 9.68651883e-005 6.06009898e-005 
2.50000000e-001 1.23743687e+001 0.00000000e+000 9.49454576e-005 9.92570793e-005 7.43386961e-005 5.33607417e-005 
2.50000000e-001 2.14330352e+001 0.00000000e+000 9.71097165e-005 8.47784321e-005 6.03327027e-005 4.20676613e-005 
2.50000000e-001 2.76699295e+001 0.00000000e+000 1.44328005e-004 1.07044289e-004 7.16437982e-005 4.71292078e-005 
2.50000000e-001 3.27395021e+001 0.00000000e+000 2.13700278e-004 1.41530182e-004 9.06433938e-005 5.71688002e-005 
5.00000000e-001 1.23743687e+001 0.00000000e+000 3.78758286e-005 5.60531997e-005 4.77691552e-005 3.84335960e-005 
5.00000000e-001 2.14330352e+001 0.00000000e+000 6.27475782e-005 6.15543903e-005 4.61720815e-005 3.39804216e-005 
5.00000000e-001 2.76699295e+001 0.00000000e+000 1.33013610e-004 9.63616918e-005 6.44651042e-005 4.27230747e-005 
5.00000000e-001 3.27395021e+001 0.00000000e+000 2.46854059e-004 1.47189037e-004 9.15255883e-005 5.66108888e-005 
7.50000000e-001 1.23743687e+001 0.00000000e+000 1.67342846e-005 3.30452832e-005 3.15023526e-005 2.80778529e-005 
7.50000000e-001 2.14330352e+001 0.00000000e+000 4.41912695e-005 4.77636144e-005 3.71505501e-005 2.83649712e-005 
7.50000000e-001 2.76699295e+001 0.00000000e+000 1.29903884e-004 9.17623959e-005 6.08580864e-005 4.01397910e-005 
7.50000000e-001 3.27395021e+001 0.00000000e+000 3.01250389e-004 1.59571381e-004 9.58037812e-005 5.76595690e-005 
1.00000000e+000 1.23743687e+001 0.00000000e+000 7.94265096e-006 2.02026341e-005 2.12632749e-005 2.07863157e-005 
1.00000000e+000 2.14330352e+001 0.00000000e+000 3.22367478e-005 3.84063395e-005 3.08516970e-005 2.42550075e-005 
1.00000000e+000 2.76699295e+001 0.00000000e+000 1.29766248e-004 8.95442502e-005 5.88883006e-005 3.85549563e-005 
1.00000000e+000 3.27395021e+001 0.00000000e+000 3.83311434e-004 1.76587395e-004 1.02139220e-004 5.96968264e-005 
1.25000000e+000 1.23743687e+001 0.00000000e+000 3.96242522e-006 1.27271324e-005 1.46482657e-005 1.55779060e-005 
1.25000000e+000 2.14330352e+001 0.00000000e+000 2.39917320e-005 3.15035979e-005 2.61317988e-005 2.11012723e-005 
