TITLE="DIR08_SCB_EB_E_WD210.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 8.75000000e+000 0.00000000e+000 1.09487005e-004 7.51884870e-005 4.85126320e-005 3.10520261e-005 
0.00000000e+000 1.51554446e+001 0.00000000e+000 1.61380939e-004 1.09585246e-004 7.01824554e-005 4.40793889e-005 
0.00000000e+000 1.95655948e+001 0.00000000e+000 2.01298689e-004 1.36060139e-004 8.66908841e-005 5.39113745e-005 
0.00000000e+000 2.31503240e+001 0.00000000e+000 2.28813331e-004 1.54262731e-004 9.80738959e-005 6.07515372e-005 
0.00000000e+000 2.62500000e+001 0.00000000e+000 2.45385123e-004 1.65265554e-004 1.05055297e-004 6.50651019e-005 
0.00000000e+000 2.90204669e+001 0.00000000e+000 2.54262052e-004 1.71101024e-004 1.08865629e-004 6.75497118e-005 
0.00000000e+000 3.15485737e+001 0.00000000e+000 2.59546128e-004 1.74528047e-004 1.11180562e-004 6.91631086e-005 
0.00000000e+000 3.38886043e+001 0.00000000e+000 2.63189748e-004 1.76862226e-004 1.12814183e-004 7.03861426e-005 
2.50000000e-001 8.75000000e+000 0.00000000e+000 3.48096075e-005 3.88443150e-005 2.94912446e-005 2.16391787e-005 
2.50000000e-001 1.51554446e+001 0.00000000e+000 5.97344334e-005 6.11267484e-005 4.50760513e-005 3.19141425e-005 
2.50000000e-001 1.95655948e+001 0.00000000e+000 8.74647048e-005 8.24747585e-005 5.91240353e-005 4.07008208e-005 
2.50000000e-001 2.31503240e+001 0.00000000e+000 1.18169132e-004 1.02419971e-004 7.14503524e-005 4.80300211e-005 
2.50000000e-001 2.62500000e+001 0.00000000e+000 1.55813293e-004 1.22579356e-004 8.29669935e-005 5.44354205e-005 
2.50000000e-001 2.90204669e+001 0.00000000e+000 2.06721740e-004 1.45727324e-004 9.52508084e-005 6.07944281e-005 
2.50000000e-001 3.15485737e+001 0.00000000e+000 2.41699544e-004 1.61192244e-004 1.03476034e-004 6.51309468e-005 
2.50000000e-001 3.38886043e+001 0.00000000e+000 2.69714916e-004 1.72617110e-004 1.09475238e-004 6.83354251e-005 
5.00000000e-001 8.75000000e+000 0.00000000e+000 1.17790545e-005 2.04983449e-005 1.81464703e-005 1.51768234e-005 
5.00000000e-001 1.51554446e+001 0.00000000e+000 2.51127264e-005 3.57709236e-005 2.97825941e-005 2.34671120e-005 
5.00000000e-001 1.95655948e+001 0.00000000e+000 4.49661338e-005 5.35435060e-005 4.20398704e-005 3.14530105e-005 
5.00000000e-001 2.31503240e+001 0.00000000e+000 7.42088872e-005 7.41319016e-005 5.49398981e-005 3.91631562e-005 
5.00000000e-001 2.62500000e+001 0.00000000e+000 1.22344497e-004 1.00732722e-004 7.00026454e-005 4.73443382e-005 
5.00000000e-001 2.90204669e+001 0.00000000e+000 2.05318067e-004 1.38102372e-004 8.95188803e-005 5.71367071e-005 
5.00000000e-001 3.15485737e+001 0.00000000e+000 2.69352997e-004 1.64042828e-004 1.02845040e-004 6.38499801e-005 
5.00000000e-001 3.38886043e+001 0.00000000e+000 3.33297855e-004 1.85420560e-004 1.13283509e-004 6.89859485e-005 
7.50000000e-001 8.75000000e+000 0.00000000e+000 4.20949262e-006 1.10357205e-005 1.12966614e-005 1.07112599e-005 
7.50000000e-001 1.51554446e+001 0.00000000e+000 1.15016786e-005 2.17717999e-005 2.01690139e-005 1.75010920e-005 
7.50000000e-001 1.95655948e+001 0.00000000e+000 2.53640726e-005 3.65359011e-005 3.09000549e-005 2.47962544e-005 
7.50000000e-001 2.31503240e+001 0.00000000e+000 5.09022961e-005 5.66939651e-005 4.39205682e-005 3.27289101e-005 
7.50000000e-001 2.62500000e+001 0.00000000e+000 1.03526889e-004 8.75280770e-005 6.16158369e-005 4.23631732e-005 
7.50000000e-001 2.90204669e+001 0.00000000e+000 2.14904490e-004 1.37289281e-004 8.75168521e-005 5.52506999e-005 
7.50000000e-001 3.15485737e+001 0.00000000e+000 3.16415752e-004 1.74129688e-004 1.05830024e-004 6.42035156e-005 
7.50000000e-001 3.38886043e+001 0.00000000e+000 4.45090009e-004 2.08542177e-004 1.21460909e-004 7.14082166e-005 
1.00000000e+000 8.75000000e+000 0.00000000e+000 1.57525295e-006 6.05262856e-006 7.11088988e-006 7.60566113e-006 
1.00000000e+000 1.51554446e+001 0.00000000e+000 5.57133339e-006 1.36713020e-005 1.39479874e-005 1.32181776e-005 
1.00000000e+000 1.95655948e+001 0.00000000e+000 1.50779649e-005 2.58221482e-005 2.33030062e-005 1.98781296e-005 
1.00000000e+000 2.31503240e+001 0.00000000e+000 3.64866789e-005 4.48817800e-005 3.60853060e-005 2.78818382e-005 
1.00000000e+000 2.62500000e+001 0.00000000e+000 9.04329941e-005 7.83964328e-005 5.56871110e-005 3.86825307e-005 
1.00000000e+000 2.90204669e+001 0.00000000e+000 2.29489352e-004 1.39510144e-004 8.74099449e-005 5.44114325e-005 
1.00000000e+000 3.15485737e+001 0.00000000e+000 3.82946295e-004 1.88706765e-004 1.10981960e-004 6.55963686e-005 
1.00000000e+000 3.38886043e+001 0.00000000e+000 6.31037975e-004 2.41188731e-004 1.33084322e-004 7.51466688e-005 
1.25000000e+000 8.75000000e+000 0.00000000e+000 6.12316932e-007 3.37647739e-006 4.52315533e-006 5.43220894e-006 
1.25000000e+000 1.51554446e+001 0.00000000e+000 2.80254595e-006 8.79696065e-006 9.81669107e-006 1.00962091e-005 
1.25000000e+000 1.95655948e+001 0.00000000e+000 9.26079312e-006 1.87096207e-005 1.79233234e-005 1.61578419e-005 
1.25000000e+000 2.31503240e+001 0.00000000e+000 2.68391028e-005 3.63321812e-005 3.02241646e-005 2.41072820e-005 
1.25000000e+000 2.62500000e+001 0.00000000e+000 8.03641194e-005 7.14583864e-005 5.11802504e-005 3.58334561e-005 
1.25000000e+000 2.90204669e+001 0.00000000e+000 2.48138849e-004 1.43378318e-004 8.83586988e-005 5.42154231e-005 
1.25000000e+000 3.15485737e+001 0.00000000e+000 4.75579390e-004 2.07135167e-004 1.17714701e-004 6.77116346e-005 
1.25000000e+000 3.38886043e+001 0.00000000e+000 9.45775180e-004 2.85072058e-004 1.48090696e-004 8.00052931e-005 
1.50000000e+000 8.75000000e+000 0.00000000e+000 2.45524029e-007 1.91276713e-006 2.90544789e-006 3.90172796e-006 
1.50000000e+000 1.51554446e+001 0.00000000e+000 1.44813866e-006 5.76973468e-006 7.01063676e-006 7.78822264e-006 
1.50000000e+000 1.95655948e+001 0.00000000e+000 5.81686062e-006 1.38025475e-005 1.39959461e-005 1.32845628e-005 
1.50000000e+000 2.31503240e+001 0.00000000e+000 2.00894938e-005 2.98604824e-005 2.56666636e-005 2.10836115e-005 
1.50000000e+000 2.62500000e+001 0.00000000e+000 7.22087869e-005 6.58543057e-005 4.75602506e-005 3.35372685e-005 
1.50000000e+000 2.90204669e+001 0.00000000e+000 2.71169281e-004 1.48363478e-004 8.99657021e-005 5.44339097e-005 
1.50000000e+000 3.15485737e+001 0.00000000e+000 6.05921956e-004 2.29603244e-004 1.25832171e-004 7.03837578e-005 
1.50000000e+000 3.38886043e+001 0.00000000e+000 1.49348555e-003 3.43577175e-004 1.66890172e-004 8.59377594e-005 
1.75000000e+000 8.75000000e+000 0.00000000e+000 1.00979903e-007 1.09865225e-006 1.88339802e-006 2.81754251e-006 
1.75000000e+000 1.51554446e+001 0.00000000e+000 7.63553144e-007 3.84182813e-006 5.06768686e-006 6.06002618e-006 
1.75000000e+000 1.95655948e+001 0.00000000e+000 3.71490925e-006 1.03206058e-005 1.10586512e-005 1.10252913e-005 
1.75000000e+000 2.31503240e+001 0.00000000e+000 1.52323563e-005 2.48104205e-005 2.20190670e-005 1.86040186e-005 
1.75000000e+000 2.62500000e+001 0.00000000e+000 6.53951158e-005 6.11454416e-005 4.45339133e-005 3.16236516e-005 
1.75000000e+000 2.90204669e+001 0.00000000e+000 2.99429105e-004 1.54270033e-004 9.20378893e-005 5.49347755e-005 
1.75000000e+000 3.15485737e+001 0.00000000e+000 7.92528748e-004 2.56726674e-004 1.35330026e-004 7.35316421e-005 
1.75000000e+000 3.38886043e+001 0.00000000e+000 2.47466153e-003 4.21848499e-004 1.90233628e-004 9.29917652e-005 
2.00000000e+000 8.75000000e+000 0.00000000e+000 4.24062634e-008 6.38882734e-007 1.23121469e-006 2.04505585e-006 
2.00000000e+000 1.51554446e+001 0.00000000e+000 4.09055211e-007 2.58931794e-006 3.70033767e-006 4.75102731e-006 
2.00000000e+000 1.95655948e+001 0.00000000e+000 2.40363580e-006 7.79799195e-006 8.81961738e-006 9.22150824e-006 
2.00000000e+000 2.31503240e+001 0.00000000e+000 1.16673902e-005 2.07850851e-005 1.90364531e-005 1.65314690e-005 
2.00000000e+000 2.62500000e+001 0.00000000e+000 5.95836076e-005 5.70835922e-005 4.19303026e-005 2.99853162e-005 
2.00000000e+000 2.90204669e+001 0.00000000e+000 3.34171310e-004 1.61048698e-004 9.44812430e-005 5.56404391e-005 
2.00000000e+000 3.15485737e+001 0.00000000e+000 1.06507117e-003 2.89442894e-004 1.46312129e-004 7.71230774e-005 
2.00000000e+000 3.38886043e+001 0.00000000e+000 4.28182875e-003 5.27343493e-004 2.19195967e-004 1.01282055e-004 
2.25000000e+000 8.75000000e+000 0.00000000e+000 1.81186282e-008 3.75630970e-007 8.11151554e-007 1.49158377e-006 
2.25000000e+000 1.51554446e+001 0.00000000e+000 2.22011776e-007 1.76254066e-006 2.72485977e-006 3.74936631e-006 
2.25000000e+000 1.95655948e+001 0.00000000e+000 1.57184565e-006 5.94134474e-006 7.08699847e-006 7.76274438e-006 
2.25000000e+000 2.31503240e+001 0.00000000e+000 9.01168826e-006 1.75266259e-005 1.65580422e-005 1.47723291e-005 
2.25000000e+000 2.62500000e+001 0.00000000e+000 5.45533735e-005 5.35153018e-005 3.96435214e-005 2.85524892e-005 
2.25000000e+000 2.90204669e+001 0.00000000e+000 3.77085229e-004 1.68724016e-004 9.72525427e-005 5.65047939e-005 
2.25000000e+000 3.15485737e+001 0.00000000e+000 1.47158123e-003 3.29018342e-004 1.58956752e-004 8.11556943e-005 
2.25000000e+000 3.38886043e+001 0.00000000e+000 7.69588086e-003 6.70798082e-004 2.55222297e-004 1.10979120e-004 
2.50000000e+000 8.75000000e+000 0.00000000e+000 7.85409057e-009 2.23026446e-007 5.38237700e-007 1.09291056e-006 
2.50000000e+000 1.51554446e+001 0.00000000e+000 1.21820125e-007 1.20971370e-006 2.02093813e-006 2.97593353e-006 
2.50000000e+000 1.95655948e+001 0.00000000e+000 1.03713556e-006 4.55793478e-006 5.73008614e-006 6.57019977e-006 
2.50000000e+000 2.31503240e+001 0.00000000e+000 7.00992900e-006 1.48579646e-005 1.44731200e-005 1.32606456e-005 
2.50000000e+000 2.62500000e+001 0.00000000e+000 5.01514608e-005 5.03385848e-005 3.76041456e-005 2.72782941e-005 
2.50000000e+000 2.90204669e+001 0.00000000e+000 4.30403186e-004 1.77365003e-004 1.00336446e-004 5.75003661e-005 
2.50000000e+000 3.15485737e+001 0.00000000e+000 2.09086947e-003 3.77112797e-004 1.73505548e-004 8.56467730e-005 
2.50000000e+000 3.38886043e+001 0.00000000e+000 1.42919670e-002 8.67713245e-004 3.00219968e-004 1.22306984e-004 
0.00000000e+000 8.75000000e+000 1.00000000e+001 1.12292594e-004 7.76865651e-005 4.98938307e-005 3.15788481e-005 
0.00000000e+000 1.51554446e+001 1.00000000e+001 1.41802205e-004 9.70168440e-005 6.22221099e-005 3.91751949e-005 
0.00000000e+000 1.95655948e+001 1.00000000e+001 1.63095822e-004 1.10935985e-004 7.10007498e-005 4.45345701e-005 
0.00000000e+000 2.31503240e+001 1.00000000e+001 1.77827376e-004 1.20614966e-004 7.71039707e-005 4.82833063e-005 
0.00000000e+000 2.62500000e+001 1.00000000e+001 1.88640793e-004 1.27821381e-004 8.16500135e-005 5.10906291e-005 
0.00000000e+000 2.90204669e+001 1.00000000e+001 1.96229942e-004 1.32905348e-004 8.48613896e-005 5.30833504e-005 
0.00000000e+000 3.15485737e+001 1.00000000e+001 2.03185760e-004 1.37583597e-004 8.77900764e-005 5.48837479e-005 
0.00000000e+000 3.38886043e+001 1.00000000e+001 2.11303646e-004 1.43043661e-004 9.11562855e-005 5.69018830e-005 
2.50000000e-001 8.75000000e+000 1.00000000e+001 3.51139058e-005 3.97434372e-005 3.01016335e-005 2.18807248e-005 
2.50000000e-001 1.51554446e+001 1.00000000e+001 5.16334883e-005 5.35230176e-005 3.96054820e-005 2.81639242e-005 
2.50000000e-001 1.95655948e+001 1.00000000e+001 6.90759760e-005 6.60814151e-005 4.77441951e-005 3.32600023e-005 
2.50000000e-001 2.31503240e+001 1.00000000e+001 8.84354302e-005 7.80821039e-005 5.50510518e-005 3.75982718e-005 
2.50000000e-001 2.62500000e+001 1.00000000e+001 1.14403521e-004 9.19082584e-005 6.29041449e-005 4.19577723e-005 
2.50000000e-001 2.90204669e+001 1.00000000e+001 1.53108637e-004 1.09960805e-004 7.25183075e-005 4.69252791e-005 
2.50000000e-001 3.15485737e+001 1.00000000e+001 1.82354480e-004 1.23862024e-004 8.00145361e-005 5.08578804e-005 
2.50000000e-001 3.38886043e+001 1.00000000e+001 2.07927097e-004 1.36030652e-004 8.66302371e-005 5.43677716e-005 
5.00000000e-001 8.75000000e+000 1.00000000e+001 1.17166427e-005 2.07864528e-005 1.83910512e-005 1.52622859e-005 
5.00000000e-001 1.51554446e+001 1.00000000e+001 2.16058116e-005 3.11275679e-005 2.60064009e-005 2.05929941e-005 
5.00000000e-001 1.95655948e+001 1.00000000e+001 3.53051438e-005 4.25234066e-005 3.36445621e-005 2.54945271e-005 
5.00000000e-001 2.31503240e+001 1.00000000e+001 5.48681694e-005 5.57496618e-005 4.17785351e-005 3.03099834e-005 
5.00000000e-001 2.62500000e+001 1.00000000e+001 8.84111376e-005 7.42686482e-005 5.22387292e-005 3.59972361e-005 
5.00000000e-001 2.90204669e+001 1.00000000e+001 1.50341418e-004 1.02813552e-004 6.72512019e-005 4.35765001e-005 
5.00000000e-001 3.15485737e+001 1.00000000e+001 2.00764818e-004 1.24494581e-004 7.85791284e-005 4.93270799e-005 
5.00000000e-001 3.38886043e+001 1.00000000e+001 2.51608169e-004 1.43750130e-004 8.83805225e-005 5.42441290e-005 
7.50000000e-001 8.75000000e+000 1.00000000e+001 4.13726204e-006 1.11003209e-005 1.13732639e-005 1.07151530e-005 
7.50000000e-001 1.51554446e+001 1.00000000e+001 9.90027351e-006 1.88940755e-005 1.75430678e-005 1.52905942e-005 
7.50000000e-001 1.95655948e+001 1.00000000e+001 1.99444834e-005 2.89234596e-005 2.46045742e-005 1.99817404e-005 
7.50000000e-001 2.31503240e+001 1.00000000e+001 3.75171928e-005 4.23545569e-005 3.31327818e-005 2.51216159e-005 
7.50000000e-001 2.62500000e+001 1.00000000e+001 7.43362332e-005 6.39577784e-005 4.55285274e-005 3.18964124e-005 
7.50000000e-001 2.90204669e+001 1.00000000e+001 1.56632575e-004 1.01550038e-004 6.52608371e-005 4.18111990e-005 
7.50000000e-001 3.15485737e+001 1.00000000e+001 2.34630673e-004 1.31257058e-004 8.02842444e-005 4.92489422e-005 
7.50000000e-001 3.38886043e+001 1.00000000e+001 3.32285214e-004 1.59805228e-004 9.37787390e-005 5.56498386e-005 
1.00000000e+000 8.75000000e+000 1.00000000e+001 1.53184544e-006 6.04305793e-006 7.11488525e-006 7.57027713e-006 
1.00000000e+000 1.51554446e+001 1.00000000e+001 4.80331912e-006 1.18574828e-005 1.21054593e-005 1.15105859e-005 
1.00000000e+000 1.95655948e+001 1.00000000e+001 1.18936621e-005 2.04400599e-005 1.85115519e-005 1.59545620e-005 
1.00000000e+000 2.31503240e+001 1.00000000e+001 2.68790441e-005 3.34319035e-005 2.70945982e-005 2.12757076e-005 
1.00000000e+000 2.62500000e+001 1.00000000e+001 6.47337535e-005 5.69956578e-005 4.08918021e-005 2.89226345e-005 
1.00000000e+000 2.90204669e+001 1.00000000e+001 1.66788600e-004 1.02823116e-004 6.48979423e-005 4.09673667e-005 
1.00000000e+000 3.15485737e+001 1.00000000e+001 2.83717085e-004 1.41656424e-004 8.38053705e-005 5.00732545e-005 
1.00000000e+000 3.38886043e+001 1.00000000e+001 4.70707793e-004 1.83262963e-004 1.01926586e-004 5.81512908e-005 
1.25000000e+000 8.75000000e+000 1.00000000e+001 5.89604949e-007 3.34816466e-006 4.49949609e-006 5.38097871e-006 
