TITLE="DIR08_SCB_ER_E_WD035.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 2.18750000e+000 0.00000000e+000 3.46043662e-004 2.33323853e-004 1.48995819e-004 9.25331469e-005 
0.00000000e+000 6.56250000e+000 0.00000000e+000 3.18283102e-004 2.14815062e-004 1.37601478e-004 8.59278982e-005 
0.00000000e+000 1.09375000e+001 0.00000000e+000 2.72424560e-004 1.84248611e-004 1.18773290e-004 7.50195206e-005 
0.00000000e+000 1.53125000e+001 0.00000000e+000 2.28627347e-004 1.55101095e-004 1.00427263e-004 6.40824696e-005 
0.00000000e+000 1.96875000e+001 0.00000000e+000 2.00646156e-004 1.36574792e-004 8.84656338e-005 5.66240655e-005 
0.00000000e+000 2.40625000e+001 0.00000000e+000 1.93746461e-004 1.32003239e-004 8.50461511e-005 5.40458596e-005 
0.00000000e+000 2.84375000e+001 0.00000000e+000 2.03476670e-004 1.38409060e-004 8.87260910e-005 5.58659322e-005 
0.00000000e+000 3.28125000e+001 0.00000000e+000 2.25212099e-004 1.52748119e-004 9.75598588e-005 6.10315371e-005 
2.50000000e-001 2.18750000e+000 0.00000000e+000 1.02479251e-004 1.16516639e-004 8.84261643e-005 6.34231217e-005 
2.50000000e-001 6.56250000e+000 0.00000000e+000 9.84418894e-005 1.09471091e-004 8.28235026e-005 5.94591523e-005 
2.50000000e-001 1.09375000e+001 0.00000000e+000 9.25820757e-005 9.81233784e-005 7.37087044e-005 5.29897275e-005 
2.50000000e-001 1.53125000e+001 0.00000000e+000 8.92780100e-005 8.82259572e-005 6.52434132e-005 4.66823102e-005 
2.50000000e-001 1.96875000e+001 0.00000000e+000 9.32311624e-005 8.46180705e-005 6.10361926e-005 4.29752432e-005 
2.50000000e-001 2.40625000e+001 0.00000000e+000 1.10125825e-004 9.09246910e-005 6.33319965e-005 4.32506572e-005 
2.50000000e-001 2.84375000e+001 0.00000000e+000 1.55249372e-004 1.12529343e-004 7.46607788e-005 4.87308838e-005 
2.50000000e-001 3.28125000e+001 0.00000000e+000 2.16388419e-004 1.43010081e-004 9.15241466e-005 5.76925068e-005 
5.00000000e-001 2.18750000e+000 0.00000000e+000 3.06799035e-005 5.83914946e-005 5.25837670e-005 4.35161048e-005 
5.00000000e-001 6.56250000e+000 0.00000000e+000 3.18266780e-005 5.66305130e-005 5.02799930e-005 4.13292413e-005 
5.00000000e-001 1.09375000e+001 0.00000000e+000 3.50318423e-005 5.43513893e-005 4.67974638e-005 3.78858257e-005 
