TITLE="DIR08_SCB_ER_E_WD105.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 2.18750000e+000 0.00000000e+000 1.95481706e-004 1.32613791e-004 8.66256766e-005 5.59677497e-005 
0.00000000e+000 6.56250000e+000 0.00000000e+000 2.05162038e-004 1.39244802e-004 9.03633650e-005 5.78825073e-005 
0.00000000e+000 1.09375000e+001 0.00000000e+000 2.22280055e-004 1.50811542e-004 9.69300729e-005 6.11864846e-005 
0.00000000e+000 1.53125000e+001 0.00000000e+000 2.31233106e-004 1.56774115e-004 1.00423089e-004 6.29430710e-005 
0.00000000e+000 1.96875000e+001 0.00000000e+000 2.27128047e-004 1.53972173e-004 9.87386413e-005 6.19818265e-005 
0.00000000e+000 2.40625000e+001 0.00000000e+000 2.18104343e-004 1.47727602e-004 9.49334589e-005 5.98720347e-005 
0.00000000e+000 2.84375000e+001 0.00000000e+000 2.15486984e-004 1.46021724e-004 9.36987913e-005 5.91091907e-005 
0.00000000e+000 3.28125000e+001 0.00000000e+000 2.30960908e-004 1.56286255e-004 9.98409580e-005 6.25581766e-005 
2.50000000e-001 2.18750000e+000 0.00000000e+000 5.78793907e-005 6.62197999e-005 5.14097232e-005 3.83612511e-005 
2.50000000e-001 6.56250000e+000 0.00000000e+000 6.33940432e-005 7.09574242e-005 5.43982626e-005 4.00610261e-005 
2.50000000e-001 1.09375000e+001 0.00000000e+000 7.48721165e-005 8.01197514e-005 6.00916336e-005 4.32081769e-005 
2.50000000e-001 1.53125000e+001 0.00000000e+000 8.83202127e-005 8.85874983e-005 6.50348802e-005 4.57996576e-005 
2.50000000e-001 1.96875000e+001 0.00000000e+000 1.02743159e-004 9.46903114e-005 6.79055968e-005 4.70020792e-005 
2.50000000e-001 2.40625000e+001 0.00000000e+000 1.21812358e-004 1.01285358e-004 7.05830633e-005 4.79230430e-005 
2.50000000e-001 2.84375000e+001 0.00000000e+000 1.63408880e-004 1.18413338e-004 7.87658553e-005 5.15873830e-005 
2.50000000e-001 3.28125000e+001 0.00000000e+000 2.22943581e-004 1.46592736e-004 9.38178909e-005 5.92402597e-005 
5.00000000e-001 2.18750000e+000 0.00000000e+000 1.73242386e-005 3.31831578e-005 3.05706632e-005 2.63206957e-005 
5.00000000e-001 6.56250000e+000 0.00000000e+000 2.04130852e-005 3.66665052e-005 3.30098074e-005 2.78442780e-005 
5.00000000e-001 1.09375000e+001 0.00000000e+000 2.76620915e-005 4.40001714e-005 3.79826361e-005 3.08337889e-005 
5.00000000e-001 1.53125000e+001 0.00000000e+000 3.91730399e-005 5.30614281e-005 4.36107398e-005 3.39713688e-005 
5.00000000e-001 1.96875000e+001 0.00000000e+000 5.68772220e-005 6.35328464e-005 4.92778302e-005 3.67368749e-005 
5.00000000e-001 2.40625000e+001 0.00000000e+000 8.63487582e-005 7.79102886e-005 5.64933079e-005 4.00327969e-005 
5.00000000e-001 2.84375000e+001 0.00000000e+000 1.57074257e-004 1.09337228e-004 7.22826791e-005 4.74823900e-005 
5.00000000e-001 3.28125000e+001 0.00000000e+000 2.61731816e-004 1.53435072e-004 9.51302369e-005 5.88382136e-005 
7.50000000e-001 2.18750000e+000 0.00000000e+000 5.24158866e-006 1.66869067e-005 1.82148202e-005 1.80780475e-005 
7.50000000e-001 6.56250000e+000 0.00000000e+000 6.81652631e-006 1.91989758e-005 2.01857708e-005 1.94333533e-005 
7.50000000e-001 1.09375000e+001 0.00000000e+000 1.09497694e-005 2.48755037e-005 2.44366463e-005 2.22216653e-005 
7.50000000e-001 1.53125000e+001 0.00000000e+000 1.89988951e-005 3.32542161e-005 3.01131420e-005 2.56326468e-005 
7.50000000e-001 1.96875000e+001 0.00000000e+000 3.45405424e-005 4.51650203e-005 3.72298212e-005 2.94387894e-005 
7.50000000e-001 2.40625000e+001 0.00000000e+000 6.63535935e-005 6.38153220e-005 4.74296355e-005 3.45234155e-005 
7.50000000e-001 2.84375000e+001 0.00000000e+000 1.59769748e-004 1.06679566e-004 6.95115932e-005 4.52352949e-005 
7.50000000e-001 3.28125000e+001 0.00000000e+000 3.25453610e-004 1.67828126e-004 1.00149893e-004 6.01349014e-005 
1.00000000e+000 2.18750000e+000 0.00000000e+000 1.60271134e-006 8.42086856e-006 1.08743729e-005 1.24295391e-005 
1.00000000e+000 6.56250000e+000 0.00000000e+000 2.34742240e-006 1.01773401e-005 1.24349301e-005 1.36178180e-005 
1.00000000e+000 1.09375000e+001 0.00000000e+000 4.55012308e-006 1.44129356e-005 1.59722545e-005 1.61628229e-005 
