TITLE="DIR08_SCB_ER_E_WD070.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 2.18750000e+000 0.00000000e+000 2.78701425e-004 1.88300500e-004 1.21188241e-004 7.63004535e-005 
0.00000000e+000 6.56250000e+000 0.00000000e+000 2.69440554e-004 1.82199416e-004 1.17341660e-004 7.39984438e-005 
0.00000000e+000 1.09375000e+001 0.00000000e+000 2.51361342e-004 1.70222467e-004 1.09604677e-004 6.92330324e-005 
0.00000000e+000 1.53125000e+001 0.00000000e+000 2.33456165e-004 1.58420886e-004 1.01922093e-004 6.43691135e-005 
0.00000000e+000 1.96875000e+001 0.00000000e+000 2.14953605e-004 1.45905114e-004 9.40653754e-005 5.96175337e-005 
0.00000000e+000 2.40625000e+001 0.00000000e+000 2.02380045e-004 1.37592443e-004 8.86964153e-005 5.63206878e-005 
0.00000000e+000 2.84375000e+001 0.00000000e+000 2.07643104e-004 1.41024235e-004 9.04164256e-005 5.69866129e-005 
0.00000000e+000 3.28125000e+001 0.00000000e+000 2.27341047e-004 1.54057231e-004 9.83992901e-005 6.15881248e-005 
2.50000000e-001 2.18750000e+000 0.00000000e+000 8.25366932e-005 9.40395366e-005 7.19278324e-005 5.23000456e-005 
2.50000000e-001 6.56250000e+000 0.00000000e+000 8.33070537e-005 9.28502683e-005 7.06338010e-005 5.12090597e-005 
2.50000000e-001 1.09375000e+001 0.00000000e+000 8.50911014e-005 9.05529545e-005 6.79852175e-005 4.88949780e-005 
2.50000000e-001 1.53125000e+001 0.00000000e+000 9.01464359e-005 8.97939740e-005 6.60978341e-005 4.68578325e-005 
2.50000000e-001 1.96875000e+001 0.00000000e+000 9.85966533e-005 9.00752764e-005 6.47986582e-005 4.52287141e-005 
2.50000000e-001 2.40625000e+001 0.00000000e+000 1.14213692e-004 9.45572092e-005 6.59812728e-005 4.50628866e-005 
2.50000000e-001 2.84375000e+001 0.00000000e+000 1.58096399e-004 1.14522197e-004 7.60320844e-005 4.97028282e-005 
2.50000000e-001 3.28125000e+001 0.00000000e+000 2.19099578e-004 1.44406539e-004 9.23926528e-005 5.82651863e-005 
5.00000000e-001 2.18750000e+000 0.00000000e+000 2.47042850e-005 4.71268404e-005 4.27740651e-005 3.58857284e-005 
5.00000000e-001 6.56250000e+000 0.00000000e+000 2.68934340e-005 4.80135622e-005 4.28734295e-005 3.55940404e-005 
5.00000000e-001 1.09375000e+001 0.00000000e+000 3.18760238e-005 4.99739676e-005 4.30810471e-005 3.49291880e-005 
5.00000000e-001 1.53125000e+001 0.00000000e+000 4.10344671e-005 5.43440110e-005 4.45823519e-005 3.48521954e-005 
5.00000000e-001 1.96875000e+001 0.00000000e+000 5.62095352e-005 6.12446022e-005 4.73926946e-005 3.54886663e-005 
5.00000000e-001 2.40625000e+001 0.00000000e+000 8.26077762e-005 7.34830840e-005 5.31462996e-005 3.77650897e-005 
5.00000000e-001 2.84375000e+001 0.00000000e+000 1.52331876e-004 1.06048279e-004 6.99297319e-005 4.57985830e-005 
5.00000000e-001 3.28125000e+001 0.00000000e+000 2.55876429e-004 1.50919556e-004 9.36096887e-005 5.78398518e-005 
7.50000000e-001 2.18750000e+000 0.00000000e+000 7.47321102e-006 2.36986620e-005 2.54865063e-005 2.46482345e-005 
7.50000000e-001 6.56250000e+000 0.00000000e+000 9.01643808e-006 2.51738137e-005 2.62332256e-005 2.48468556e-005 
7.50000000e-001 1.09375000e+001 0.00000000e+000 1.28410973e-005 2.84656292e-005 2.78331164e-005 2.52219542e-005 
7.50000000e-001 1.53125000e+001 0.00000000e+000 2.04585390e-005 3.45480721e-005 3.10576316e-005 2.64185565e-005 
7.50000000e-001 1.96875000e+001 0.00000000e+000 3.50668193e-005 4.42626918e-005 3.62041234e-005 2.86167832e-005 
7.50000000e-001 2.40625000e+001 0.00000000e+000 6.44868379e-005 6.08685310e-005 4.49935674e-005 3.27370337e-005 
7.50000000e-001 2.84375000e+001 0.00000000e+000 1.54793270e-004 1.03620044e-004 6.73741436e-005 4.36979091e-005 
7.50000000e-001 3.28125000e+001 0.00000000e+000 3.16252201e-004 1.64612352e-004 9.83867229e-005 5.90698990e-005 
1.00000000e+000 2.18750000e+000 0.00000000e+000 2.28457365e-006 1.19584886e-005 1.52154809e-005 1.69470395e-005 
1.00000000e+000 6.56250000e+000 0.00000000e+000 3.12004360e-006 1.33693883e-005 1.61749764e-005 1.74171493e-005 
1.00000000e+000 1.09375000e+001 0.00000000e+000 5.43129385e-006 1.66441254e-005 1.82914470e-005 1.83942311e-005 
1.00000000e+000 1.53125000e+001 0.00000000e+000 1.07038145e-005 2.27429701e-005 2.21941711e-005 2.03540033e-005 
1.00000000e+000 1.96875000e+001 0.00000000e+000 2.27498581e-005 3.31752978e-005 2.84993717e-005 2.35724458e-005 
1.00000000e+000 2.40625000e+001 0.00000000e+000 5.18096813e-005 5.20554154e-005 3.92356172e-005 2.90558642e-005 
1.00000000e+000 2.84375000e+001 0.00000000e+000 1.60497135e-004 1.03556253e-004 6.64452209e-005 4.25880931e-005 
1.00000000e+000 3.28125000e+001 0.00000000e+000 4.07533495e-004 1.83407852e-004 1.05386960e-004 6.13436934e-005 
1.25000000e+000 2.18750000e+000 0.00000000e+000 7.05535164e-007 6.05512764e-006 9.10135654e-006 1.16639461e-005 
1.25000000e+000 6.56250000e+000 0.00000000e+000 1.10777464e-006 7.18404410e-006 1.00456829e-005 1.22583953e-005 
1.25000000e+000 1.09375000e+001 0.00000000e+000 2.37273130e-006 9.93915562e-006 1.21993061e-005 1.35368789e-005 
1.25000000e+000 1.53125000e+001 0.00000000e+000 5.75575805e-006 1.53379451e-005 1.61736744e-005 1.58974192e-005 
1.25000000e+000 1.96875000e+001 0.00000000e+000 1.50688269e-005 2.54135421e-005 2.28935589e-005 1.97351638e-005 
1.25000000e+000 2.40625000e+001 0.00000000e+000 4.22658124e-005 4.52797961e-005 3.48221107e-005 2.62083628e-005 
