TITLE="DIR08_SCB_ER_E_WD000.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
0.00000000e+000 2.18750000e+000 0.00000000e+000 3.71910809e-004 2.50548220e-004 1.59576184e-004 9.86528339e-005 
0.00000000e+000 6.56250000e+000 0.00000000e+000 3.38133313e-004 2.28207510e-004 1.45946273e-004 9.08515643e-005 
0.00000000e+000 1.09375000e+001 0.00000000e+000 2.80612180e-004 1.89587892e-004 1.22181874e-004 7.71181903e-005 
0.00000000e+000 1.53125000e+001 0.00000000e+000 2.24729893e-004 1.52437703e-004 9.91098612e-005 6.36205405e-005 
0.00000000e+000 1.96875000e+001 0.00000000e+000 1.94427508e-004 1.32475571e-004 8.59116293e-005 5.52023006e-005 
0.00000000e+000 2.40625000e+001 0.00000000e+000 1.91551758e-004 1.30576254e-004 8.40998257e-005 5.34161133e-005 
0.00000000e+000 2.84375000e+001 0.00000000e+000 2.02170680e-004 1.37589234e-004 8.82045101e-005 5.55211762e-005 
0.00000000e+000 3.28125000e+001 0.00000000e+000 2.24538146e-004 1.52339502e-004 9.73025071e-005 6.08613456e-005 
2.50000000e-001 2.18750000e+000 0.00000000e+000 1.10092888e-004 1.25097428e-004 9.46947993e-005 6.76125581e-005 
2.50000000e-001 6.56250000e+000 0.00000000e+000 1.04600836e-004 1.16290976e-004 8.78403729e-005 6.28620412e-005 
2.50000000e-001 1.09375000e+001 0.00000000e+000 9.54829286e-005 1.01007353e-004 7.58385770e-005 5.44756729e-005 
2.50000000e-001 1.53125000e+001 0.00000000e+000 8.81674969e-005 8.68463878e-005 6.44382699e-005 4.63612336e-005 
2.50000000e-001 1.96875000e+001 0.00000000e+000 9.09146115e-005 8.22520538e-005 5.93390488e-005 4.19146762e-005 
2.50000000e-001 2.40625000e+001 0.00000000e+000 1.09088627e-004 9.00088417e-005 6.26527731e-005 4.27526939e-005 
2.50000000e-001 2.84375000e+001 0.00000000e+000 1.54432329e-004 1.11933334e-004 7.42537090e-005 4.84400811e-005 
2.50000000e-001 3.28125000e+001 0.00000000e+000 2.16191587e-004 1.42800574e-004 9.13612280e-005 5.75618705e-005 
5.00000000e-001 2.18750000e+000 0.00000000e+000 3.29421283e-005 6.26784354e-005 5.63037173e-005 4.63865424e-005 
5.00000000e-001 6.56250000e+000 0.00000000e+000 3.38396869e-005 6.01665662e-005 5.33270622e-005 4.36935704e-005 
5.00000000e-001 1.09375000e+001 0.00000000e+000 3.62328668e-005 5.60105719e-005 4.81783989e-005 3.89587323e-005 
5.00000000e-001 1.53125000e+001 0.00000000e+000 4.15338504e-005 5.33376108e-005 4.38221265e-005 3.46162652e-005 
5.00000000e-001 1.96875000e+001 0.00000000e+000 5.37514038e-005 5.68942907e-005 4.38536994e-005 3.30601435e-005 
5.00000000e-001 2.40625000e+001 0.00000000e+000 7.99126330e-005 7.04692694e-005 5.07307121e-005 3.59404168e-005 
5.00000000e-001 2.84375000e+001 0.00000000e+000 1.48750299e-004 1.03796439e-004 6.83961059e-005 4.46841485e-005 
5.00000000e-001 3.28125000e+001 0.00000000e+000 2.51086410e-004 1.49006354e-004 9.25014526e-005 5.71238667e-005 
7.50000000e-001 2.18750000e+000 0.00000000e+000 9.96377664e-006 3.15138912e-005 3.35429536e-005 3.18568988e-005 
7.50000000e-001 6.56250000e+000 0.00000000e+000 1.13822797e-005 3.15781085e-005 3.26448571e-005 3.05051898e-005 
7.50000000e-001 1.09375000e+001 0.00000000e+000 1.48254673e-005 3.21312688e-005 3.12508112e-005 2.81845941e-005 
7.50000000e-001 1.53125000e+001 0.00000000e+000 2.14223782e-005 3.45665881e-005 3.08927404e-005 2.63987362e-005 
7.50000000e-001 1.96875000e+001 0.00000000e+000 3.45932651e-005 4.19592793e-005 3.39758998e-005 2.68740761e-005 
7.50000000e-001 2.40625000e+001 0.00000000e+000 6.29649875e-005 5.87904609e-005 4.32101769e-005 3.12929757e-005 
7.50000000e-001 2.84375000e+001 0.00000000e+000 1.50738449e-004 1.01407553e-004 6.59408152e-005 4.26768780e-005 
7.50000000e-001 3.28125000e+001 0.00000000e+000 3.08218136e-004 1.62041096e-004 9.70588725e-005 5.82932170e-005 
1.00000000e+000 2.18750000e+000 0.00000000e+000 3.04610594e-006 1.59001434e-005 2.00225389e-005 2.19008955e-005 
1.00000000e+000 6.56250000e+000 0.00000000e+000 3.95394379e-006 1.67948363e-005 2.01429408e-005 2.13895125e-005 
1.00000000e+000 1.09375000e+001 0.00000000e+000 6.36547451e-006 1.89460145e-005 2.06418983e-005 2.06070589e-005 
1.00000000e+000 1.53125000e+001 0.00000000e+000 1.15268110e-005 2.32164196e-005 2.23798163e-005 2.04927327e-005 
1.00000000e+000 1.96875000e+001 0.00000000e+000 2.29922985e-005 3.20570014e-005 2.71473711e-005 2.23492994e-005 
1.00000000e+000 2.40625000e+001 0.00000000e+000 5.09631705e-005 5.05772948e-005 3.78933582e-005 2.79062205e-005 
