TITLE="DIR08_SCB_ER_E_WD280.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
1.50000000e+000 2.18750000e+000 0.00000000e+000 8.32599570e-008 1.18042986e-006 2.04561263e-006 2.91712478e-006 
1.50000000e+000 6.56250000e+000 0.00000000e+000 1.53477505e-007 1.53076093e-006 2.42312454e-006 3.26690824e-006 
1.50000000e+000 1.09375000e+001 0.00000000e+000 4.20621604e-007 2.53099118e-006 3.46393478e-006 4.22777410e-006 
1.50000000e+000 1.53125000e+001 0.00000000e+000 1.36509924e-006 5.02283306e-006 5.88533836e-006 6.35235263e-006 
1.50000000e+000 1.96875000e+001 0.00000000e+000 5.16843213e-006 1.15235205e-005 1.14258879e-005 1.06892437e-005 
1.50000000e+000 2.40625000e+001 0.00000000e+000 2.36739474e-005 3.05549346e-005 2.50551922e-005 1.98165213e-005 
1.50000000e+000 2.84375000e+001 0.00000000e+000 2.08844333e-004 1.19862849e-004 7.42834514e-005 4.58817830e-005 
1.50000000e+000 3.28125000e+001 0.00000000e+000 1.07063523e-003 2.87354356e-004 1.46910809e-004 7.83831555e-005 
1.75000000e+000 2.18750000e+000 0.00000000e+000 2.61584873e-008 6.01342084e-007 1.22766819e-006 2.01101408e-006 
1.75000000e+000 6.56250000e+000 0.00000000e+000 5.62868876e-008 8.36130399e-007 1.52035126e-006 2.31194046e-006 
1.75000000e+000 1.09375000e+001 0.00000000e+000 1.88389821e-007 1.54003403e-006 2.34180822e-006 3.13698401e-006 
1.75000000e+000 1.53125000e+001 0.00000000e+000 7.38026402e-007 3.40643424e-006 4.31182445e-006 4.98299211e-006 
1.75000000e+000 1.96875000e+001 0.00000000e+000 3.38211316e-006 8.73326656e-006 9.11262210e-006 8.92131451e-006 
1.75000000e+000 2.40625000e+001 0.00000000e+000 1.89779693e-005 2.61772896e-005 2.19886309e-005 1.77732031e-005 
1.75000000e+000 2.84375000e+001 0.00000000e+000 2.27988157e-004 1.22910280e-004 7.49891473e-005 4.57635148e-005 
1.75000000e+000 3.28125000e+001 0.00000000e+000 1.69308054e-003 3.39929857e-004 1.62862912e-004 8.32330783e-005 
2.00000000e+000 2.18750000e+000 0.00000000e+000 8.28425251e-009 3.07363473e-007 7.38215079e-007 1.38778366e-006 
2.00000000e+000 6.56250000e+000 0.00000000e+000 2.09382739e-008 4.60623314e-007 9.59517846e-007 1.64189490e-006 
2.00000000e+000 1.09375000e+001 0.00000000e+000 8.55550090e-008 9.47797324e-007 1.59787235e-006 2.34269147e-006 
2.00000000e+000 1.53125000e+001 0.00000000e+000 4.04473303e-007 2.33647753e-006 3.19070229e-006 3.93965820e-006 
2.00000000e+000 1.96875000e+001 0.00000000e+000 2.24270812e-006 6.68849841e-006 7.33660589e-006 7.50521589e-006 
2.00000000e+000 2.40625000e+001 0.00000000e+000 1.53780142e-005 2.26162258e-005 1.94466885e-005 1.60511208e-005 
2.00000000e+000 2.84375000e+001 0.00000000e+000 2.52301841e-004 1.26782010e-004 7.60703442e-005 4.58521394e-005 
2.00000000e+000 3.28125000e+001 0.00000000e+000 2.82102478e-003 4.09872245e-004 1.82480499e-004 8.89220447e-005 
2.25000000e+000 2.18750000e+000 0.00000000e+000 2.64225985e-009 1.57611338e-007 4.44754419e-007 9.58680795e-007 
2.25000000e+000 6.56250000e+000 0.00000000e+000 7.88121059e-009 2.55686087e-007 6.08837952e-007 1.16995110e-006 
2.25000000e+000 1.09375000e+001 0.00000000e+000 3.92828097e-008 5.88757405e-007 1.09889490e-006 1.75968335e-006 
2.25000000e+000 1.53125000e+001 0.00000000e+000 2.24116544e-007 1.61709196e-006 2.38041380e-006 3.13577746e-006 
2.25000000e+000 1.96875000e+001 0.00000000e+000 1.50336803e-006 5.16572700e-006 5.95174532e-006 6.35556042e-006 
2.25000000e+000 2.40625000e+001 0.00000000e+000 1.25715943e-005 1.96715622e-005 1.73040921e-005 1.45764403e-005 
2.25000000e+000 2.84375000e+001 0.00000000e+000 2.83007977e-004 1.31462366e-004 7.74749082e-005 4.61023880e-005 
2.25000000e+000 3.28125000e+001 0.00000000e+000 4.92399534e-003 5.03770386e-004 2.06646114e-004 9.55459956e-005 
