TITLE="DIR04_SCB_ER_E_WD140.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=4 K=3 F=POINT
0.00000000e+000 4.37500000e+000 0.00000000e+000 1.43986807e-004 9.84932718e-005 6.45250630e-005 4.21811640e-005 
0.00000000e+000 1.31250000e+001 0.00000000e+000 2.03832219e-004 1.38365003e-004 8.86975261e-005 5.57009130e-005 
0.00000000e+000 2.18750000e+001 0.00000000e+000 2.31945085e-004 1.56864772e-004 1.00268013e-004 6.26178131e-005 
0.00000000e+000 3.06250000e+001 0.00000000e+000 2.33553986e-004 1.57775207e-004 1.00985022e-004 6.34166472e-005 
2.50000000e-001 4.37500000e+000 0.00000000e+000 4.39777484e-005 4.99196004e-005 3.86978281e-005 2.91202318e-005 
2.50000000e-001 1.31250000e+001 0.00000000e+000 7.37525183e-005 7.62164627e-005 5.64341235e-005 4.00497989e-005 
2.50000000e-001 2.18750000e+001 0.00000000e+000 1.17317308e-004 1.02386424e-004 7.20220683e-005 4.89644446e-005 
2.50000000e-001 3.06250000e+001 0.00000000e+000 2.03665807e-004 1.39077668e-004 9.05031154e-005 5.80218749e-005 
5.00000000e-001 4.37500000e+000 0.00000000e+000 1.38869938e-005 2.55829340e-005 2.33557721e-005 2.01712025e-005 
5.00000000e-001 1.31250000e+001 0.00000000e+000 3.01967694e-005 4.39365374e-005 3.68812971e-005 2.92209954e-005 
5.00000000e-001 2.18750000e+001 0.00000000e+000 7.41974059e-005 7.37263699e-005 5.49947988e-005 3.96419052e-005 
5.00000000e-001 3.06250000e+001 0.00000000e+000 2.22362370e-004 1.38266105e-004 8.79747294e-005 5.57762872e-005 
7.50000000e-001 4.37500000e+000 0.00000000e+000 4.52255191e-006 1.32522978e-005 1.41838119e-005 1.40187532e-005 
7.50000000e-001 1.31250000e+001 0.00000000e+000 1.34932955e-005 2.63209940e-005 2.46847016e-005 2.16108314e-005 
7.50000000e-001 2.18750000e+001 0.00000000e+000 5.19163308e-005 5.65459972e-005 4.39035347e-005 3.30045415e-005 
7.50000000e-001 3.06250000e+001 0.00000000e+000 2.60561654e-004 1.44976700e-004 8.93317905e-005 5.53452130e-005 
1.00000000e+000 4.37500000e+000 0.00000000e+000 1.51438397e-006 6.93583704e-006 8.66582106e-006 9.77469397e-006 
1.00000000e+000 1.31250000e+001 0.00000000e+000 6.40026768e-006 1.62724390e-005 1.68680279e-005 1.61813285e-005 
1.00000000e+000 2.18750000e+001 0.00000000e+000 3.82424638e-005 4.51183827e-005 3.61643203e-005 2.80868563e-005 
1.00000000e+000 3.06250000e+001 0.00000000e+000 3.19637716e-004 1.56191367e-004 9.29240050e-005 5.60322226e-005 
1.25000000e+000 4.37500000e+000 0.00000000e+000 5.19700387e-007 3.66560726e-006 5.32547738e-006 6.83729920e-006 
1.25000000e+000 1.31250000e+001 0.00000000e+000 3.16457169e-006 1.03184123e-005 1.17334000e-005 1.22517142e-005 
1.25000000e+000 2.18750000e+001 0.00000000e+000 2.90802505e-005 3.69344203e-005 3.04525639e-005 2.43097732e-005 
1.25000000e+000 3.06250000e+001 0.00000000e+000 4.09701324e-004 1.71321662e-004 9.81153939e-005 5.74757095e-005 
1.50000000e+000 4.37500000e+000 0.00000000e+000 1.82208945e-007 1.95516069e-006 3.29111378e-006 4.79757078e-006 
1.50000000e+000 1.31250000e+001 0.00000000e+000 1.61270773e-006 6.67734715e-006 8.28588392e-006 9.36929026e-006 
1.50000000e+000 2.18750000e+001 0.00000000e+000 2.26220215e-005 3.07736576e-005 2.60515020e-005 2.13171651e-005 
1.50000000e+000 3.06250000e+001 0.00000000e+000 5.49961228e-004 1.90744774e-004 1.04720495e-004 5.94931282e-005 
1.75000000e+000 4.37500000e+000 0.00000000e+000 6.50800274e-008 1.05183320e-006 2.04483450e-006 3.37658814e-006 
1.75000000e+000 1.31250000e+001 0.00000000e+000 8.41040991e-007 4.39258350e-006 5.92650264e-006 7.22872085e-006 
1.75000000e+000 2.18750000e+001 0.00000000e+000 1.79128000e-005 2.59766177e-005 2.25497073e-005 1.88838214e-005 
1.75000000e+000 3.06250000e+001 0.00000000e+000 7.75428657e-004 2.15394718e-004 1.12776708e-004 6.20005004e-005 
2.00000000e+000 4.37500000e+000 0.00000000e+000 2.36213737e-008 5.70394842e-007 1.27701013e-006 2.38350704e-006 
2.00000000e+000 1.31250000e+001 0.00000000e+000 4.46734479e-007 2.92856760e-006 4.28502688e-006 5.62108291e-006 
2.00000000e+000 2.18750000e+001 0.00000000e+000 1.43910217e-005 2.21517855e-005 1.96963661e-005 1.68629611e-005 
2.00000000e+000 3.06250000e+001 0.00000000e+000 1.15145555e-003 2.46709671e-004 1.22454803e-004 6.49706365e-005 
2.25000000e+000 4.37500000e+000 0.00000000e+000 8.69392073e-009 3.11609511e-007 8.01380197e-007 1.68731428e-006 
2.25000000e+000 1.31250000e+001 0.00000000e+000 2.40892317e-007 1.97431775e-006 3.12682760e-006 4.40136288e-006 
2.25000000e+000 2.18750000e+001 0.00000000e+000 1.17036283e-005 1.90482463e-005 1.73295569e-005 1.51558563e-005 
2.25000000e+000 3.06250000e+001 0.00000000e+000 1.80399775e-003 2.86735227e-004 1.34028987e-004 6.84115156e-005 
2.50000000e+000 4.37500000e+000 0.00000000e+000 3.23887443e-009 1.71397924e-007 5.05216656e-007 1.19777327e-006 
2.50000000e+000 1.31250000e+001 0.00000000e+000 1.31549308e-007 1.34353230e-006 2.29973934e-006 3.46748573e-006 
2.50000000e+000 2.18750000e+001 0.00000000e+000 9.61825945e-006 1.64955030e-005 1.53392468e-005 1.36939560e-005 
2.50000000e+000 3.06250000e+001 0.00000000e+000 2.98371987e-003 3.38339597e-004 1.47875297e-004 7.23553455e-005 
0.00000000e+000 4.37500000e+000 1.00000000e+001 1.19911553e-004 8.32151511e-005 5.45127721e-005 3.56435989e-005 
0.00000000e+000 1.31250000e+001 1.00000000e+001 1.50355286e-004 1.03135692e-004 6.66818070e-005 4.25256736e-005 
0.00000000e+000 2.18750000e+001 1.00000000e+001 1.68598899e-004 1.15197788e-004 7.41260173e-005 4.69123093e-005 
0.00000000e+000 3.06250000e+001 1.00000000e+001 1.87971004e-004 1.28205865e-004 8.18875028e-005 5.13001319e-005 
2.50000000e-001 4.37500000e+000 1.00000000e+001 3.57825860e-005 4.16191398e-005 3.23665973e-005 2.44285118e-005 
2.50000000e-001 1.31250000e+001 1.00000000e+001 5.21121366e-005 5.53987033e-005 4.16250672e-005 3.01599853e-005 
2.50000000e-001 2.18750000e+001 1.00000000e+001 7.92806123e-005 7.19743306e-005 5.14922161e-005 3.58070789e-005 
2.50000000e-001 3.06250000e+001 1.00000000e+001 1.58458208e-004 1.10520520e-004 7.20149372e-005 4.62127860e-005 
5.00000000e-001 4.37500000e+000 1.00000000e+001 1.10500113e-005 2.10538008e-005 1.93424577e-005 1.67997178e-005 
5.00000000e-001 1.31250000e+001 1.00000000e+001 2.06450450e-005 3.12494611e-005 2.67390104e-005 2.17246493e-005 
5.00000000e-001 2.18750000e+001 1.00000000e+001 4.78878782e-005 5.00913408e-005 3.82305122e-005 2.83734084e-005 
5.00000000e-001 3.06250000e+001 1.00000000e+001 1.71570625e-004 1.08592758e-004 6.91732914e-005 4.39281438e-005 
7.50000000e-001 4.37500000e+000 1.00000000e+001 3.52279547e-006 1.07688446e-005 1.16328967e-005 1.15925319e-005 
7.50000000e-001 1.31250000e+001 1.00000000e+001 8.99566597e-006 1.83787855e-005 1.76242918e-005 1.58766927e-005 
7.50000000e-001 2.18750000e+001 1.00000000e+001 3.25016885e-005 3.74400865e-005 2.98313769e-005 2.31861466e-005 
7.50000000e-001 3.06250000e+001 1.00000000e+001 2.02556011e-004 1.13312148e-004 6.97563106e-005 4.32510592e-005 
1.00000000e+000 4.37500000e+000 1.00000000e+001 1.15584968e-006 5.56695577e-006 7.03972568e-006 8.02607411e-006 
1.00000000e+000 1.31250000e+001 1.00000000e+001 4.18093104e-006 1.11861053e-005 1.18810604e-005 1.17580327e-005 
1.00000000e+000 2.18750000e+001 1.00000000e+001 2.34023235e-005 2.92821739e-005 2.41210781e-005 1.94174382e-005 
1.00000000e+000 3.06250000e+001 1.00000000e+001 2.54409090e-004 1.22111271e-004 7.23195856e-005 4.35619664e-005 
1.25000000e+000 4.37500000e+000 1.00000000e+001 3.88993841e-007 2.90702050e-006 4.28579287e-006 5.57505894e-006 
1.25000000e+000 1.31250000e+001 1.00000000e+001 2.03124885e-006 6.99841955e-006 8.16562102e-006 8.81314614e-006 
1.25000000e+000 2.18750000e+001 1.00000000e+001 1.74693861e-005 2.35862116e-005 2.00023069e-005 1.65758446e-005 
1.25000000e+000 3.06250000e+001 1.00000000e+001 3.40044249e-004 1.34615395e-004 7.63250285e-005 4.45421909e-005 
1.50000000e+000 4.37500000e+000 1.00000000e+001 1.33840538e-007 1.53251621e-006 2.62432798e-006 3.88495562e-006 
1.50000000e+000 1.31250000e+001 1.00000000e+001 1.01879758e-006 4.47566117e-006 5.70475125e-006 6.67736879e-006 
1.50000000e+000 2.18750000e+001 1.00000000e+001 1.33770670e-005 1.93861205e-005 1.68907391e-005 1.43623408e-005 
1.50000000e+000 3.06250000e+001 1.00000000e+001 4.85409091e-004 1.51383479e-004 8.16423775e-005 4.60338823e-005 
1.75000000e+000 4.37500000e+000 1.00000000e+001 4.69399060e-008 8.15114717e-007 1.61588707e-006 2.71567770e-006 
1.75000000e+000 1.31250000e+001 1.00000000e+001 5.23452415e-007 2.91306051e-006 4.04092533e-006 5.10785519e-006 
1.75000000e+000 2.18750000e+001 1.00000000e+001 1.04467615e-005 1.61714589e-005 1.44564609e-005 1.25899003e-005 
1.75000000e+000 3.06250000e+001 1.00000000e+001 7.41719261e-004 1.73599113e-004 8.83521639e-005 4.79681980e-005 
2.00000000e+000 4.37500000e+000 1.00000000e+001 1.67369839e-008 4.37134441e-007 1.00022500e-006 1.90409275e-006 
2.00000000e+000 1.31250000e+001 1.00000000e+001 2.74118283e-007 1.92321029e-006 2.89586815e-006 3.94049143e-006 
2.00000000e+000 2.18750000e+001 1.00000000e+001 8.28962656e-006 1.36456089e-005 1.25016669e-005 1.11379998e-005 
2.00000000e+000 3.06250000e+001 1.00000000e+001 1.21304707e-003 2.03102070e-004 9.66728861e-005 5.03284423e-005 
2.25000000e+000 4.37500000e+000 1.00000000e+001 6.05380901e-009 2.36224389e-007 6.22246240e-007 1.33898356e-006 
2.25000000e+000 1.31250000e+001 1.00000000e+001 1.45800600e-007 1.28467886e-006 2.09581527e-006 3.06272187e-006 
2.25000000e+000 2.18750000e+001 1.00000000e+001 6.66641713e-006 1.16221888e-005 1.09007263e-005 9.92650040e-006 
2.25000000e+000 3.06250000e+001 1.00000000e+001 2.11824093e-003 2.42601570e-004 1.06943077e-004 5.31313714e-005 
2.50000000e+000 4.37500000e+000 1.00000000e+001 2.21708532e-009 1.28555265e-007 3.88944489e-007 9.44272256e-007 
2.50000000e+000 1.31250000e+001 1.00000000e+001 7.85672959e-008 8.66613438e-007 1.52957527e-006 2.39621909e-006 
2.50000000e+000 2.18750000e+001 1.00000000e+001 5.42256023e-006 9.97679024e-006 9.56959589e-006 8.90039857e-006 
2.50000000e+000 3.06250000e+001 1.00000000e+001 3.93318197e-003 2.96060958e-004 1.19631639e-004 5.64181591e-005 
0.00000000e+000 4.37500000e+000 2.00000000e+001 1.09146720e-004 7.59281154e-005 4.84889380e-005 3.04482652e-005 
0.00000000e+000 1.31250000e+001 2.00000000e+001 1.22138005e-004 8.41166670e-005 5.35932023e-005 3.34832578e-005 
0.00000000e+000 2.18750000e+001 2.00000000e+001 1.52263923e-004 1.03793742e-004 6.57927017e-005 4.06752478e-005 
0.00000000e+000 3.06250000e+001 2.00000000e+001 2.04711740e-004 1.38334394e-004 8.72674790e-005 5.34502411e-005 
2.50000000e-001 4.37500000e+000 2.00000000e+001 3.09076919e-005 3.68427985e-005 2.81352591e-005 2.05152592e-005 
2.50000000e-001 1.31250000e+001 2.00000000e+001 4.15897534e-005 4.46402011e-005 3.30922867e-005 2.35062988e-005 
2.50000000e-001 2.18750000e+001 2.00000000e+001 7.49921856e-005 6.66394163e-005 4.65476887e-005 3.13385071e-005 
2.50000000e-001 3.06250000e+001 2.00000000e+001 1.91715351e-004 1.27456902e-004 8.07727931e-005 4.99099391e-005 
5.00000000e-001 4.37500000e+000 2.00000000e+001 9.06778286e-006 1.80897400e-005 1.64351805e-005 1.38716460e-005 
5.00000000e-001 1.31250000e+001 2.00000000e+001 1.62214127e-005 2.49271909e-005 2.10566501e-005 1.67739637e-005 
5.00000000e-001 2.18750000e+001 2.00000000e+001 4.62018976e-005 4.72790828e-005 3.50755969e-005 2.50417943e-005 
5.00000000e-001 3.06250000e+001 2.00000000e+001 2.21976787e-004 1.30948562e-004 8.05303795e-005 4.88278630e-005 
7.50000000e-001 4.37500000e+000 2.00000000e+001 2.74859018e-006 8.98402516e-006 9.66384753e-006 9.41228242e-006 
7.50000000e-001 1.31250000e+001 2.00000000e+001 6.93392282e-006 1.45173713e-005 1.37569359e-005 1.21513728e-005 
7.50000000e-001 2.18750000e+001 2.00000000e+001 3.14547280e-005 3.57173656e-005 2.76515568e-005 2.06014995e-005 
7.50000000e-001 3.06250000e+001 2.00000000e+001 2.81967157e-004 1.41775953e-004 8.36561431e-005 4.92237458e-005 
1.00000000e+000 4.37500000e+000 2.00000000e+001 8.57814172e-007 4.51075566e-006 5.71870523e-006 6.40844186e-006 
1.00000000e+000 1.31250000e+001 2.00000000e+001 3.14625122e-006 8.74271119e-006 9.19325376e-006 8.92357268e-006 
1.00000000e+000 2.18750000e+001 2.00000000e+001 2.25563331e-005 2.80575724e-005 2.24950364e-005 1.73364945e-005 
1.00000000e+000 3.06250000e+001 2.00000000e+001 3.88143943e-004 1.58595520e-004 8.91176432e-005 5.06112179e-005 
1.25000000e+000 4.37500000e+000 2.00000000e+001 2.74641893e-007 2.28828274e-006 3.40504251e-006 4.37794708e-006 
