TITLE="DIR04_SCB_EB_E_WD070.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=4 K=3 F=POINT
0.00000000e+000 1.23743687e+001 0.00000000e+000 2.48716039e-004 1.68493913e-004 1.08456513e-004 6.84643051e-005 
0.00000000e+000 2.14330352e+001 0.00000000e+000 2.09505577e-004 1.42302888e-004 9.17717766e-005 5.82317517e-005 
0.00000000e+000 2.76699295e+001 0.00000000e+000 2.05794212e-004 1.39812482e-004 8.97267851e-005 5.66399475e-005 
0.00000000e+000 3.27395021e+001 0.00000000e+000 2.26385975e-004 1.53426404e-004 9.80088639e-005 6.13580116e-005 
2.50000000e-001 1.23743687e+001 0.00000000e+000 8.67882616e-005 9.08755228e-005 6.79129444e-005 4.86609034e-005 
2.50000000e-001 2.14330352e+001 0.00000000e+000 1.03820665e-004 9.13418808e-005 6.49953497e-005 4.50291323e-005 
2.50000000e-001 2.76699295e+001 0.00000000e+000 1.48161113e-004 1.09887901e-004 7.36305666e-005 4.85449503e-005 
2.50000000e-001 3.27395021e+001 0.00000000e+000 2.16640428e-004 1.43178074e-004 9.17061580e-005 5.78950572e-005 
5.00000000e-001 1.23743687e+001 0.00000000e+000 3.44611790e-005 5.13221173e-005 4.36741219e-005 3.50811247e-005 
5.00000000e-001 2.14330352e+001 0.00000000e+000 6.52962382e-005 6.53990826e-005 4.93005901e-005 3.62046482e-005 
5.00000000e-001 2.76699295e+001 0.00000000e+000 1.36382172e-004 9.86986042e-005 6.61141581e-005 4.39413368e-005 
5.00000000e-001 3.27395021e+001 0.00000000e+000 2.51584294e-004 1.49115407e-004 9.26512993e-005 5.73432065e-005 
7.50000000e-001 1.23743687e+001 0.00000000e+000 1.50891888e-005 3.01854841e-005 2.87835353e-005 2.56344853e-005 
7.50000000e-001 2.14330352e+001 0.00000000e+000 4.50363331e-005 4.99847240e-005 3.92244214e-005 3.00150132e-005 
7.50000000e-001 2.76699295e+001 0.00000000e+000 1.33398089e-004 9.39178857e-005 6.23277941e-005 4.12212118e-005 
